timestamp,session_id,upload_id,device,location,nr_band,nr_arfcn,ss_rsrp_dbm,ss_sinr_db,ss_rsrq_db,estimated_prb_util,protocol,payload_mb,connection_reuse,rtt_ms,upload_latency_ms,packet_loss_rate,retx_count,success,scenario
2026-02-04T19:28:17.806,4db154095489,1,pixel_9,outdoor_urban,n77,646666,-104.5,-0.9,-10.4,0.1286,TCP,1.0,True,97.11261223649213,884.2304756554155,0.0144354527769326,0,True,quiet
2026-02-04T19:28:23.665,4db154095489,1,pixel_9,outdoor_urban,n77,646666,-104.5,-3.5,-14.2,0.1238,QUIC,1.0,False,97.11261223649213,778.294474588488,0.0151572254157792,0,True,quiet
2026-02-04T19:28:29.300,4db154095489,1,pixel_9,outdoor_urban,n77,646666,-104.5,6.3,-12.4,0.1298,UDP,1.0,True,97.11261223649213,138.32678188786406,0.0173225433323191,0,True,quiet
2026-02-01T08:33:50.901,3915257bd0fd,2,oneplus_nord_n30,residential,n71,123400,-105.1,-3.0,-14.3,0.1421,TCP,1.0,True,98.9261524206235,222.3213320728923,0.093169161276748,0,True,quiet
2026-02-01T08:33:57.182,3915257bd0fd,2,oneplus_nord_n30,residential,n71,123400,-105.1,3.1,-13.3,0.1431,QUIC,1.0,True,98.9261524206235,221.9910684144801,0.0978276193405854,0,True,quiet
2026-02-01T08:34:03.259,3915257bd0fd,2,oneplus_nord_n30,residential,n71,123400,-105.1,8.0,-11.4,0.1339,UDP,1.0,True,98.9261524206235,145.14557700930786,0.1118029935320976,0,True,quiet
2026-02-01T08:34:07.110,3915257bd0fd,3,oneplus_nord_n30,residential,n71,123400,-104.8,3.0,-12.8,0.1495,TCP,1.0,True,98.29854372127956,225.3573230318599,0.092556995231219,0,True,quiet
2026-02-01T08:34:14.125,3915257bd0fd,3,oneplus_nord_n30,residential,n71,123400,-104.8,1.1,-10.9,0.1471,QUIC,1.0,True,98.29854372127956,233.77399433098407,0.0971848449927799,0,True,quiet
2026-02-01T08:34:17.222,3915257bd0fd,3,oneplus_nord_n30,residential,n71,123400,-104.8,2.1,-9.8,0.1575,UDP,1.0,True,98.29854372127956,146.2140489262595,0.1110683942774628,0,True,quiet
2026-02-01T08:34:20.923,3915257bd0fd,4,oneplus_nord_n30,residential,n71,123400,-105.1,-2.0,-14.8,0.1078,TCP,1.0,True,96.5604974670012,216.77506427695133,0.0146191334293676,0,True,quiet
2026-02-01T08:34:31.260,3915257bd0fd,4,oneplus_nord_n30,residential,n71,123400,-105.1,2.7,-13.2,0.0913,QUIC,1.0,True,96.5604974670012,190.3527860640192,0.015350090100836,0,True,quiet
2026-02-01T08:34:39.069,3915257bd0fd,4,oneplus_nord_n30,residential,n71,123400,-105.1,-2.8,-10.0,0.0933,UDP,1.0,True,96.5604974670012,134.23747557578972,0.0175429601152412,0,True,quiet
2026-02-01T08:34:43.976,3915257bd0fd,5,oneplus_nord_n30,residential,n71,123400,-105.2,4.7,-11.3,0.0971,TCP,1.0,True,96.69228554600386,186.20936013430696,0.0146713589195343,0,True,quiet
2026-02-01T08:34:48.409,3915257bd0fd,5,oneplus_nord_n30,residential,n71,123400,-105.2,-0.4,-12.2,0.0885,QUIC,1.0,True,96.69228554600386,215.25172216166052,0.0154049268655111,0,True,quiet
2026-02-01T08:34:59.473,3915257bd0fd,5,oneplus_nord_n30,residential,n71,123400,-105.2,3.0,-14.0,0.104,UDP,1.0,True,96.69228554600386,129.8478419254091,0.0176056307034412,0,True,quiet
2026-02-01T08:35:09.074,3915257bd0fd,6,oneplus_nord_n30,residential,n71,123400,-107.4,6.5,-15.5,0.0736,TCP,1.0,False,99.89914671305588,206.83769557531195,0.0154486622149274,0,True,quiet
2026-02-01T08:35:20.446,3915257bd0fd,6,oneplus_nord_n30,residential,n71,123400,-107.4,3.1,-14.8,0.072,QUIC,1.0,True,99.89914671305588,221.57477205658708,0.0162210953256738,0,True,quiet
2026-01-09T09:44:55.883,2c9db837e85e,6,pixel_5,residential,n71,123400,-107.4,0.9,-9.2,0.0757,UDP,1.0,True,99.89914671305588,126.41226612637602,0.0185383946579129,0,True,quiet
2026-01-09T09:45:06.190,2c9db837e85e,7,pixel_5,residential,n71,123400,-108.8,-0.6,-14.2,0.12,TCP,1.0,True,104.53953786607354,206.66859395815888,0.0159546418080331,0,True,quiet
2026-01-09T09:45:09.502,2c9db837e85e,7,pixel_5,residential,n71,123400,-108.8,2.1,-11.9,0.1091,QUIC,1.0,True,104.53953786607354,203.18271733385737,0.0167523738984347,0,True,quiet
2026-01-09T09:45:21.670,2c9db837e85e,7,pixel_5,residential,n71,123400,-108.8,4.0,-15.2,0.1027,UDP,1.0,True,104.53953786607354,137.65891198803956,0.0191455701696397,0,True,quiet
2026-01-09T09:45:31.524,2c9db837e85e,8,pixel_5,residential,n71,123400,-109.3,-1.5,-14.0,0.0711,TCP,1.0,True,103.5373880754368,265.96491129444115,0.0161565293408426,0,True,quiet
2026-01-09T09:45:37.745,2c9db837e85e,8,pixel_5,residential,n71,123400,-109.3,-3.1,-15.4,0.0709,QUIC,1.0,True,103.5373880754368,193.58071520802565,0.0169643558078847,0,True,quiet
2026-01-09T09:45:49.556,2c9db837e85e,8,pixel_5,residential,n71,123400,-109.3,-5.0,-11.0,0.0622,UDP,1.0,True,103.5373880754368,130.4694106087083,0.0193878352090111,0,True,quiet
2026-01-09T09:45:55.653,2c9db837e85e,9,pixel_5,residential,n71,123400,-107.1,1.8,-10.4,0.0565,TCP,1.0,True,98.42979896880888,204.21501151462385,0.0153734619332788,0,True,quiet
2026-01-09T09:46:06.662,2c9db837e85e,9,pixel_5,residential,n71,123400,-107.1,-5.0,-13.5,0.0478,QUIC,1.0,True,98.42979896880888,219.9734162083344,0.0161421350299427,0,True,quiet
2026-01-09T09:46:11.533,2c9db837e85e,9,pixel_5,residential,n71,123400,-107.1,0.9,-11.0,0.047,UDP,1.0,True,98.42979896880888,52.8723802568535,0.0184481543199345,1,False,quiet
2026-01-09T09:46:17.143,2c9db837e85e,10,pixel_5,residential,n71,123400,-106.9,8.5,-13.4,0.079,TCP,1.0,True,95.11988520857514,176.75648902317883,0.0152858729868879,0,True,quiet
2026-01-09T09:46:20.750,2c9db837e85e,10,pixel_5,residential,n71,123400,-106.9,-0.1,-14.6,0.0791,QUIC,1.0,True,95.11988520857514,177.614585241559,0.0160501666362323,0,True,quiet
2026-01-09T09:46:25.684,2c9db837e85e,10,pixel_5,residential,n71,123400,-106.9,2.4,-13.4,0.0357,UDP,1.0,True,95.11988520857514,117.09984048612398,0.0183430475842655,0,True,quiet
2026-01-09T09:46:29.665,2c9db837e85e,11,pixel_5,residential,n71,123400,-106.5,4.6,-10.4,0.0185,TCP,1.0,True,94.7794758737098,245.79059454812904,0.0151562297239785,0,True,quiet
2026-01-09T09:46:36.818,2c9db837e85e,11,pixel_5,residential,n71,123400,-106.5,3.1,-11.8,0.0288,QUIC,1.0,True,94.7794758737098,173.90822797665962,0.0159140412101774,0,True,quiet
2026-01-09T09:46:46.894,2c9db837e85e,11,pixel_5,residential,n71,123400,-106.5,1.9,-14.3,0.025,UDP,1.0,False,94.7794758737098,117.15460366343204,0.0181874756687742,0,True,quiet
2026-01-09T09:46:50.905,2c9db837e85e,12,pixel_5,residential,n71,123400,-106.6,-0.2,-12.5,0.0766,TCP,1.0,True,94.55752231234544,170.22587560915443,0.0151793200170759,0,True,quiet
2026-01-09T09:46:57.474,2c9db837e85e,12,pixel_5,residential,n71,123400,-106.6,2.7,-12.9,0.0736,QUIC,1.0,True,94.55752231234544,172.71842919997206,0.0159382860179297,0,True,quiet
2026-01-09T09:47:07.703,2c9db837e85e,12,pixel_5,residential,n71,123400,-106.6,0.9,-9.2,0.0589,UDP,1.0,True,94.55752231234544,113.17847917912655,0.0182151840204911,0,True,quiet
2026-01-09T09:47:17.793,2c9db837e85e,13,pixel_5,residential,n71,123400,-107.4,-5.0,-13.2,0.0421,TCP,1.0,True,98.28428135826584,198.78515590764343,0.0154502307143844,0,True,quiet
2026-01-09T09:47:25.134,2c9db837e85e,13,pixel_5,residential,n71,123400,-107.4,2.7,-13.5,0.0502,QUIC,1.0,True,98.28428135826584,258.9737632166483,0.0162227422501036,0,True,quiet
2026-01-09T09:47:34.839,2c9db837e85e,13,pixel_5,residential,n71,123400,-107.4,-4.0,-15.5,0.0422,UDP,1.0,True,98.28428135826584,126.1004588155249,0.0185402768572613,0,True,quiet
2026-01-09T09:47:37.866,2c9db837e85e,14,pixel_5,residential,n71,123400,-105.9,6.7,-15.3,0.0368,TCP,1.0,True,93.16002582849096,180.9248380931391,0.0149069023986238,0,True,quiet
2026-01-09T09:47:49.544,2c9db837e85e,14,pixel_5,residential,n71,123400,-105.9,2.8,-15.3,0.0609,QUIC,1.0,True,93.16002582849096,194.61337629182813,0.015652247518555,0,True,quiet
2026-01-09T09:47:59.010,2c9db837e85e,14,pixel_5,residential,n71,123400,-105.9,5.0,-12.9,0.0616,UDP,1.0,True,93.16002582849096,113.82269465197164,0.0178882828783485,0,True,quiet
2026-01-09T09:48:07.195,2c9db837e85e,15,pixel_5,residential,n71,123400,-105.9,-0.5,-8.9,0.0585,TCP,1.0,True,93.21354891204548,189.33609898043647,0.0149246724254401,0,True,quiet
2026-01-09T09:48:17.704,2c9db837e85e,15,pixel_5,residential,n71,123400,-105.9,-0.2,-10.9,0.0172,QUIC,1.0,False,93.21354891204548,180.6305838988468,0.0156709060467122,0,True,quiet
2026-01-09T09:48:29.134,2c9db837e85e,15,pixel_5,residential,n71,123400,-105.9,4.5,-14.3,0.0344,UDP,1.0,True,93.21354891204548,117.38895450458682,0.0179096069105282,0,True,quiet
2026-01-09T09:48:32.967,2c9db837e85e,16,pixel_5,residential,n71,123400,-104.8,-0.9,-13.2,0.0634,TCP,1.0,False,91.06128133987625,168.75447230117456,0.0145138204709533,0,True,quiet
2026-01-09T09:48:42.386,2c9db837e85e,16,pixel_5,residential,n71,123400,-104.8,7.1,-10.9,0.0489,QUIC,1.0,True,91.06128133987625,153.2640969234666,0.0152395114945009,0,True,quiet
2026-01-09T09:48:48.824,2c9db837e85e,16,pixel_5,residential,n71,123400,-104.8,0.4,-12.5,0.0501,UDP,1.0,True,91.06128133987625,115.01003573662368,0.0174165845651439,0,True,quiet
2026-01-09T09:48:58.976,2c9db837e85e,17,pixel_5,residential,n71,123400,-103.9,3.6,-18.2,0.0548,TCP,1.0,True,92.44902591712597,203.2900660156369,0.0141990400330972,0,True,quiet
2026-01-09T09:49:09.594,2c9db837e85e,17,pixel_5,residential,n71,123400,-103.9,3.3,-9.5,0.0619,QUIC,1.0,False,92.44902591712597,180.2153873525785,0.014908992034752,0,True,quiet
2026-01-09T09:49:20.805,2c9db837e85e,17,pixel_5,residential,n71,123400,-103.9,3.5,-13.2,0.0649,UDP,1.0,True,92.44902591712597,123.99343929065536,0.0170388480397166,0,True,quiet
2026-01-09T09:49:25.585,2c9db837e85e,18,pixel_5,residential,n71,123400,-102.7,2.1,-14.5,0.1154,TCP,1.0,True,92.66959952108635,220.2739973155823,0.0137631200285803,0,True,quiet
2026-01-09T09:49:36.920,2c9db837e85e,18,pixel_5,residential,n71,123400,-102.7,1.5,-10.9,0.1212,QUIC,1.0,True,92.66959952108635,186.56533201442684,0.0144512760300093,0,True,quiet
2026-01-09T09:49:42.054,2c9db837e85e,18,pixel_5,residential,n71,123400,-102.7,4.9,-14.2,0.1254,UDP,1.0,True,92.66959952108635,133.3214706144416,0.0165157440342963,0,True,quiet
2026-01-09T09:49:51.600,2c9db837e85e,19,pixel_5,residential,n71,123400,-102.7,0.5,-11.5,0.1199,TCP,1.0,True,93.59661098042385,207.5581736474317,0.0888780654552024,0,True,quiet
2026-01-09T09:49:56.186,2c9db837e85e,19,pixel_5,residential,n71,123400,-102.7,2.4,-10.6,0.1398,QUIC,1.0,True,93.59661098042385,442.709765836272,0.0933219687279625,2,True,quiet
2026-01-09T09:49:59.524,2c9db837e85e,19,pixel_5,residential,n71,123400,-102.7,1.0,-12.8,0.1415,UDP,1.0,True,93.59661098042385,134.2606577284419,0.1066536785462428,0,True,quiet
2026-01-09T09:50:11.763,2c9db837e85e,20,pixel_5,residential,n71,123400,-102.5,4.0,-13.4,0.184,TCP,1.0,True,95.71084761257109,213.9657115601473,0.0137100257922398,0,True,quiet
2026-01-09T09:50:20.377,2c9db837e85e,20,pixel_5,residential,n71,123400,-102.5,2.4,-8.9,0.1831,QUIC,1.0,True,95.71084761257109,275.6449392824346,0.0143955270818518,0,True,quiet
2026-01-09T09:50:31.628,2c9db837e85e,20,pixel_5,residential,n71,123400,-102.5,5.3,-14.3,0.1901,UDP,1.0,True,95.71084761257109,153.07715688792578,0.0164520309506878,0,True,quiet
2026-01-09T09:50:38.671,2c9db837e85e,21,pixel_5,residential,n71,123400,-103.6,2.3,-11.3,0.1417,TCP,1.0,True,95.65521577202428,217.45432426261485,0.0140812248875445,0,True,quiet
2026-01-09T09:50:49.149,2c9db837e85e,21,pixel_5,residential,n71,123400,-103.6,4.1,-10.9,0.1497,QUIC,1.0,True,95.65521577202428,193.4208252043799,0.0147852861319218,0,True,quiet
2026-01-09T09:50:52.565,2c9db837e85e,21,pixel_5,residential,n71,123400,-103.6,5.0,-12.5,0.143,UDP,1.0,True,95.65521577202428,145.94245978574247,0.0168974698650534,0,True,quiet
2026-01-09T09:51:02.498,2c9db837e85e,22,pixel_5,residential,n71,123400,-104.9,7.3,-10.1,0.1376,TCP,1.0,True,98.28602625538566,201.6694164310054,0.0145638206008617,0,True,quiet
2026-01-09T09:51:07.191,2c9db837e85e,22,pixel_5,residential,n71,123400,-104.9,-2.0,-11.9,0.132,QUIC,1.0,True,98.28602625538566,241.7038867839032,0.0152920116309048,0,True,quiet
2026-01-09T09:51:10.865,2c9db837e85e,22,pixel_5,residential,n71,123400,-104.9,2.2,-15.6,0.1359,UDP,1.0,True,98.28602625538566,141.8112624422485,0.017476584721034,0,True,quiet
2026-01-09T09:51:15.051,2c9db837e85e,23,pixel_5,residential,n71,123400,-101.0,7.5,-9.9,0.1928,TCP,1.0,True,92.91924504027642,228.4832239245643,0.0131628857584568,0,True,quiet
2026-01-09T09:51:18.639,2c9db837e85e,23,pixel_5,residential,n71,123400,-101.0,11.3,-9.8,0.1945,QUIC,1.0,True,92.91924504027642,219.9806008459107,0.0138210300463797,0,True,quiet
2026-01-09T09:51:30.373,2c9db837e85e,23,pixel_5,residential,n71,123400,-101.0,3.0,-11.4,0.1978,UDP,1.0,False,92.91924504027642,154.31061132180196,0.0157954629101482,0,True,quiet
2026-01-09T09:51:37.485,2c9db837e85e,24,pixel_5,residential,n71,123400,-99.9,1.3,-11.4,0.1384,TCP,1.0,True,87.68386902001775,190.44699672573967,0.0127513415802693,0,True,quiet
2026-01-09T09:51:48.400,2c9db837e85e,24,pixel_5,residential,n71,123400,-99.9,6.4,-12.6,0.1402,QUIC,1.0,True,87.68386902001775,187.80563367808645,0.0133889086592827,0,True,quiet
